sku,nombre,marca,notas
741540100140,BALERO 6305-2NSE VINI (FL),VINI,
741540189580,BALERO AGUJA BOXER 150 VINI (FL),VINI,
741540189581,BALERO AGUJA BOXER 150 VINI(FL),VINI,
HK1212,BALERO AGUJA HK1212,NRP,
HK1312,BALERO AGUJA HK1312,NRP,
HK1514,BALERO AGUJA HK1514,NRP,
741540100743,BALERO AGUJA NK15/12 VINI MOTO CHINAS MOTOR (FL),VINI,
1001539,BALERO AGUJA NK1512,MEK,
741540189838,BALERO CIGUEAÑAL HORNET 160 (6207) VINI (FL),VINI,
741540189674,BALERO CIGUEÑAL 63/28X1/P53 VINI(FL),VINI,
741540189639,BALERO CIGUEÑAL CB160F VINI(FL),VINI,
741540189453,BALERO CIGUEÑAL HUNK VINI(FL),VINI,
741540189583,BALERO CIGUEÑAL PULSAR 180 VINI(FL),VINI,
741540189559,BALERO CIGUEÑAL SERPENTO VINI(FL),VINI,
RBBAL-380630007-0001,BALERO DE AGUJA 21X28X10 HK PARA ARBOL,MOTUL,
741540100386,BALERO LLANTA 6200 2RS VINI (FL),VINI,
741540100387,BALERO LLANTA 6201 2RS VINI (FL),VINI,
741540100389,BALERO LLANTA 6203 2RS VINI (FL),VINI,
741540100392,BALERO LLANTA 6204,VINI,
741540100391,BALERO LLANTA 6301 2RS VINI (FL),VINI,
741540100388,BALERO LLANTA 6302 2RS VINI (FL),VINI,
1005707,BALERO MEK PRO 6202 2RS / NAGA200,MEK,
741540188596,BALERO MOTOR 6001 AK125 FLEX VINI (FL),VINI,
741540100393,BALERO MOTOR 6004 VINI (FL),VINI,
741540189739,BALERO MOTOR 6006/P6,VINI,
741540188103,BALERO MOTOR 6202 VINI (FL),VINI,
741540188598,BALERO MOTOR 6203 AK125 FLEX,VINI,
741540100395,BALERO MOTOR 6205 VINI (FL),VINI,
741540100139,BALERO MOTOR 63/28 VINI (FL),VINI,
741540100394,BALERO MOTOR 6304 VINI (FL),VINI,
741540190075,BALERO MOTOR HUNK150 VINI,VINI,
1003562,BALINERA BENDIX GY6 (125-150) SCOOTER,MEK,
1003554,BANCADA BALANCIN  CG125 UNIVERSAL,MEK,
1001205,BANCADA BALANCIN CR1 TX200,MEK,
1004051,BANCADA BALANCIN GY6  (125-150) SCOOTER,MEK,
1005274,BAQUELITA ACELERADOR MOTOS TURISMO CR1 AK150R4,MEK,
1005273,BAQUELITA TODOTERRENO AKT200TT,MEK,
741540189270,BASE CATARINA FORZA 150,VINI,
741540100741,BASE CATARINA GN125,VINI,
741540188710,BASE FRICCION CG-125 VINI,VINI,
TS12N5-3B,BATERIA DE GEL 12N5-3B TECNOSTAR,TECNOSTAR,
TS12N7A-3A,BATERIA DE GEL 12N7A-3A TECNOSTAR,TECNOSTAR,
TS12N9-4B-1,BATERIA DE GEL 12N9-4B-1 TECNOSTAR,TECNOSTAR,
TSYTX7A-BS,BATERIA DE GEL YTX7A-BS TECNOSTAR,TECNOSTAR,
TSYTX7L-BS,BATERIA DE GEL YTX7L-BS TECNOSTAR,TECNOSTAR,
TSYTX9-BS,BATERIA DE GEL YTX9-BS TECNOSTAR,TECNOSTAR,
20705,BATERIA MEGAFORCE 12N5-3B,MEGAFORCE,
20708,BATERIA MEGAFORCE 12N7-3B,MEGAFORCE,
20707,BATERIA MEGAFORCE 12N7A-3A,MEGAFORCE,
20718,BATERIA MEGAFORCE YTX4L-BS,MEGAFORCE,
20719,BATERIA MEGAFORCE YTX5L-BS,MEGAFORCE,
20722,BATERIA MEGAFORCE YTX9-BS,MEGAFORCE,
741540100116,BAYONETA ACEITE CGL VINI(FL),VINI,
741540187513,BOBINA ALTA AKT 200 SM VINI (FL),VINI,
741540190335,BOBINA ALTA AX100,VINI,
741540189636,BOBINA ALTA CB160F VINI(FL),VINI,
741540187505,BOBINA ALTA CGL125/CR1/V-MEN VINI (FL),VINI,
741540189630,BOBINA ALTA CRUX 110,VINI,
741540189481,BOBINA ALTA GN125/GXT200,VINI,
741540100117,BOBINA ALTA GY6 125 VINI (FL),VINI,
741540188644,BOBINA ALTA HERO HF DAWN VINI(FL),VINI,
741540188289,BOBINA ALTA JH125,VINI,
741540189338,BOBINA ALTA NAGA 200,VINI,
741540190087,BOBINA ALTA PULSAR125NS -LH VINI,VINI,
741540190086,BOBINA ALTA PULSAR125NS-RH VINI,VINI,
741540190044,BOBINA ALTA PULSAR160NS-LH VINI,VINI,
741540190043,BOBINA ALTA PULSAR160NS-RH VINI,VINI,
741540100118,BOBINA ALTA YBR125 VINI,VINI,
1003051,BOBINA MAGNETO 11T GY6(125-150) SCOOTER,MEK,
1003299,BOBINA MAGNETO 8T CB200,MEK,
1002805,BOBINA MAGNETO 8T CG125-150,MEK,
1006489,BOBINA MAGNETO MEK PRO CG125/CGP150 8T CR1N/NAGA200,MEK,
741540190471,BOMBA ACEITE AK RTX150 VINI,VINI,
741540190355,BOMBA ACEITE AK180XM/AK200SM,VINI,
741540100213,BOMBA ACEITE AX100 VINI(FL),VINI,
741540189914,BOMBA ACEITE BM150 VINI,VINI,
741540189890,BOMBA ACEITE BOMBA SERPENTO DRACO 250 VINI,VINI,
1004622,BOMBA ACEITE CG150/CG200/CR1/CG125,MEK,
741540190889,BOMBA ACEITE DAKAR200,VINI,
741540190261,BOMBA ACEITE FZ 2.00-3.00,VINI,
741540188181,BOMBA ACEITE GY-150/SCOOTER 150 VINI (RC),VINI,
741540189837,BOMBA ACEITE HORNET 160 VINI,VINI,
741540188182,BOMBA ACEITE HUNK/INVICTA 150 VINI(RC),VINI,
741540190909,BOMBA ACEITE MK1,VINI,
741540190472,BOMBA ACEITE MOTO CARGO AK180,VINI,
741540190076,BOMBA ACEITE NAVI110 VINI,VINI,
741540190582,BOMBA ACEITE PULSAR 160NS,VINI,
741540190356,BOMBA ACEITE PULSAR 200NS,VINI,
741540118008,BOMBA ACEITE SANLG SL125-3C VINI (RC),VINI,
741540190890,BOMBA ACEITE SMX200 / TTR180,VINI,
741540190357,BOMBA ACEITE STRYKER 125 / SPORT 100 ELS,VINI,
1000291,BOMBA DE FRENO TRACERA TT200 MEK,MEK,
741540190667,BOMBA FRENO AK TTR180 / TTX180,VINI,
741540190823,BOMBA FRENO AK180XM-AK200XM,VINI,
741540188670,BOMBA FRENO DEL UNIVERSAL TB-110 VINI(FL),VINI,
741540190693,BOMBA FRENO DELANTERA GIXXER VINI,VINI,
741540177001,BOMBA FRENO DELANTERA UNIVERSAL VINI ) (FL),VINI,
1000280,BOMBA FRENO MANECILLA GY6,MEK,
741540190689,BOMBA FRENO TRASERO XPULSE200,VINI,
741540100129,BOMBILLO AD-H4 12V 35W VINI (FL),VINI,
741540100126,BOMBILLO SILVIN 12V35W (SUPER WHITE) VINI (FL),VINI,
741540161501,BOMBILLO SILVIN AX100 VINI 12V-XENON 35W/35W (FL),VINI,
741540187915,BOMBILLO SILVIN CABEZON 12V BA20D VINI (FL),VINI,
741540188324,BOMBILLO STOP 12V (BAY15D),VINI,
741540188326,BOMBILLO T10 12V 5W LAGRIMA,VINI,
741540100127,BOMBILLO VIA 12V 8W,VINI,
1001105,BRAZO FRENO TRACERO CR1 NAGA 200 MEK,MEK,
1003042,BUJIA CR7HSA,MEK,
BA020430,BUJIA NGK C7EA CUELLO LARGO,NGK,
BA020404,BUJIA NGK C7HSA CUELLO CORTO,NGK,
BA020410,BUJIA NGK D8EA,NGK,
BA020405,BUJIA NGK IRIDIUM CR7HIX CUELLO CORTO,NGK,
BA020506,BUJIA NGK IRIDIUM CR8EIX CUELLO LARGO,NGK,
BA020411,BUJIA NGK IRIDIUM DPR8EIX-9,NGK,
741540188819,BUJIA VINI D8AE EQV (D8EA) (FL),VINI,
1003419,BUSHIN TIJERA BROSS CHINA TODOTERRENO UNIVERSAL,MEK,
741540188544,BUSHING CATARINA SET V-MEN VINI (RC),VINI,
1005281,BUSHING TIJERA CG125-CG150,MEK,
1001042,BUSHING TIJERA CG125-CG150 NEGRO,MEK,
1005994,CABLE ACELERADOR  GN125F,MEK,
741540100266,CABLE ACELERADOR AX100 VINI (FL),VINI,
THC039,CABLE ACELERADOR BOXER 150,NRP,
741540188482,CABLE ACELERADOR CB110 VINI (FL),VINI,
741540189678,CABLE ACELERADOR CB160F-HORNET VINI (FL),VINI,
741540188011,CABLE ACELERADOR CBF125 VINI (FL),VINI,
741540100268,CABLE ACELERADOR CGL125 CR1 SHOE,VINI,
1000426,CABLE ACELERADOR CRUX 110,MEK,
1002821,CABLE ACELERADOR DISCOVER 125-135,MEK,
741540188055,CABLE ACELERADOR FIRE 125 VINI (FL),VINI,
741540189193,CABLE ACELERADOR FORZA 150 VINI(FL),VINI,
741540188013,CABLE ACELERADOR FZ16 VINI(FL),VINI,
THC046,CABLE ACELERADOR FZS 3.0,NRP,
741540100273,CABLE ACELERADOR GN125 VINI,VINI,
THC016,CABLE ACELERADOR GSX 150 GIXXER,NRP,
741540100597,CABLE ACELERADOR GXT 200 VINI (FL),VINI,
741540188712,CABLE ACELERADOR GY-125 VINI(FL),VINI,
1000434,CABLE ACELERADOR GY6 125,MEK,
741540188012,CABLE ACELERADOR HJ125 VINI(FL),VINI,
1000424,CABLE ACELERADOR HJ125 WY125,MEK,
741540189192,CABLE ACELERADOR HUNK 150 / UNICORN 150,VINI,
741540190587,CABLE ACELERADOR HUNK160R,VINI,
1006113,CABLE ACELERADOR NAGA 200,MEK,
741540189200,CABLE ACELERADOR NAGA 200 VINI(FL),VINI,
741540100275,CABLE ACELERADOR PULSAR 135 VINI(FL),VINI,
741540189541,CABLE ACELERADOR PULSAR 160NS VINI (FL),VINI,
741540100274,CABLE ACELERADOR PULSAR 180 VINI(FL),VINI,
741540100480,CABLE ACELERADOR PULSAR 200NS VINI(FL),VINI,
741540100276,CABLE ACELERADOR PULSAR 220 VINI(FL),VINI,
741540188015,CABLE ACELERADOR RENEGADO 200 (2 CABLES) VINI(FL),VINI,
THC011,CABLE ACELERADOR SHADOW 150,NRP,
THC035,CABLE ACELERADOR SZ150D / YBR125ED,NRP,
741540100659,CABLE ACELERADOR TVS APACHE VINI (DOBLE)(FL),VINI,
741540187994,CABLE ACELERADOR V-MEN,VINI,
THC012,CABLE ACELERADOR VMEN 125,NRP,
741540191029,CABLE ACELERADOR X-BLADE 160,VINI,
741540100269,CABLE ACELERADOR XL125-TT200 VINI. TODO TERRENO,VINI,
741540189943,CABLE ACELERADOR XTZ150 VINI (FL),VINI,
741540100271,CABLE ACELERADOR YAMAHA DT 18G VINI(FL),VINI,
741540189195,CABLE ACELERADOR YARA 200-TT200 VINI(FL),VINI,
741540100600,CABLE ACELERADOR YBR,VINI,
THC024,CABLE ACELERADOR YD 110D CRUX REV,NRP,
THC025,CABLE ACELERADOR YD 110S CRUX,NRP,
1004916,CABLE CLUTCH  TVS KING NEGRO,MEK,
1002817,CABLE CLUTCH BROSS CHINA NTR 125,MEK,
741540191287,CABLE CLUTCH CB 190R,VINI,
CLC005,CABLE CLUTCH CB1 125 / CB125F TWISTER,NRP,
741540190618,CABLE CLUTCH CB110,VINI,
CLC006,CABLE CLUTCH CB110 TWISTER / CBF110,NRP,
741540188481,CABLE CLUTCH CB110 VINI(FL),VINI,
741540189679,CABLE CLUTCH CB160F-HORNET / TWISTER125,VINI,
741540100281,CABLE CLUTCH CGL125 (SHOE) VINI(FL),VINI,
741540189196,CABLE CLUTCH FORZA 150 CR1,VINI,
1001083,CABLE CLUTCH FZ16,MEK,
741540188004,CABLE CLUTCH FZ16-2.0-CR5 VINI(FL),VINI,
1002769,CABLE CLUTCH GN 125,MEK,
741540100286,CABLE CLUTCH GN125H,VINI,
741540188007,CABLE CLUTCH HJ125-7 VINI(FL),VINI,
741540100279,CABLE CLUTCH HONDA BROSS VINI(FL),VINI,
741540100283,CABLE CLUTCH HONDA STORM VINI(FL),VINI,
741540189198,CABLE CLUTCH NAGA 200,VINI,
741540188506,CABLE CLUTCH NAGA VINI(FL),VINI,
741540190616,CABLE CLUTCH PULSAR 125NS,VINI,
741540100288,CABLE CLUTCH PULSAR 135 VINI(FL),VINI,
1002828,CABLE CLUTCH PULSAR 150-180,MEK,
741540189540,CABLE CLUTCH PULSAR 160NS,VINI,
741540100481,CABLE CLUTCH PULSAR 200NS,VINI,
741540100289,CABLE CLUTCH PULSAR 220 VINI (FL),VINI,
741540188008,CABLE CLUTCH RENEGADE 200-DRACO 250 VINI (FL),VINI,
741540188406,CABLE CLUTCH SL150-9/FIRE 150 VINI (FL),VINI,
741540100660,CABLE CLUTCH TVS APACHE VINI (FL),VINI,
741540188060,CABLE CLUTCH V-MEN,VINI,
741540100282,CABLE CLUTCH XL125,VINI,
1006496,CABLE CLUTCH XPULSE 200,MEK,
741540189956,CABLE CLUTCH XTZ150 VINI (FL),VINI,
741540189194,CABLE CLUTCH YARA 200 VINI(FL),VINI,
741540100285,CABLE CLUTCH YBR 125 VINI,VINI,
CLC029,CABLE CLUTCH YD 110 CRUX REV,NRP,
CLC030,CABLE CLUTCH YD 110S CRUX,NRP,
1002814,CABLE DE CLUTCH CG125-CG150 CORAL150,MEK,
1000438,CABLE DE FRENO CRUX110,MEK,
RTCAB-281710018-0001,CABLE DE TACOMETRO FIRE125,TOKIO,
741540188016,CABLE FRENO BOXER BM150,VINI,
741540190654,CABLE FRENO CB110 VINI(FL),VINI,
741540100293,CABLE FRENO CGL125 (SHOE),VINI,
741540188715,CABLE FRENO DELANTERO 2 GY-125 VINI(FL),VINI,
741540189947,CABLE FRENO DELANTERO NAVI 110 VINI (FL),VINI,
45450K74N01,CABLE FRENO DELANTERO NAVI110,MEK,
741540188714,CABLE FRENO TRASERO LARGO 1 GY125 VINI(FL),VINI,
43450K7474N01,CABLE FRENO TRASERO NAVI110,MEK,
741540100296,CABLE FRENO YAMAHA DT 18G VINI (FL),VINI,
1003716,CABLE FRENO YBR.,MEK,
741540100099,CABLE INTERNO CLUTCH VINI (FL),VINI,
741540189681,CABLE SHOCK CB160F VINI (FL),VINI,
741540189199,CABLE SHOCK FORZA 150 VINI(FL),VINI,
741540189201,CABLE SHOCK HUNK 150 VINI(FL),VINI,
741540189945,CABLE SHOKE NAVI110 VINI (FL),VINI,
741540100551,CABLE TACOMETRO GN125,VINI,
741540188010,CABLE TACOMETRO HJ125-7 VINI(FL),VINI,
741540100425,CABLE TACOMETRO UM-YUMBO DK VINI (FL),VINI,
741540189191,CABLE VELOCIMETRO AK TT 200 VINI(FL),VINI,
741540100759,CABLE VELOCIMETRO BOXER (BRAKE PAD),VINI,
741540100760,CABLE VELOCIMETRO BOXER (BRAKE SHOE),VINI,
1000457,CABLE VELOCIMETRO BROSS CHINA TODO TERRENO,MEK,
741540188009,CABLE VELOCIMETRO CBF125-CB1-CRUX110 VINI(FL),VINI,
741540100475,CABLE VELOCIMETRO DISCOVER 125ST / BOXER 150,VINI,
741540100514,CABLE VELOCIMETRO GN-FREEDOM 125 125H,VINI,
741540100599,CABLE VELOCIMETRO GXT200,VINI,
741540188713,CABLE VELOCIMETRO GY-125,VINI,
741540100423,CABLE VELOCIMETRO HONDA STORM-XR150 VINI(FL),VINI,
741540189197,CABLE VELOCIMETRO NAGA 200 VINI (FL),VINI,
741540191014,CABLE VELOCIMETRO SZ150D,VINI,
741540100424,CABLE VELOCIMETRO UM-YUMBO DAKAR / SKYGO / KATANA 200 VINI(FL),VINI,
741540188058,CABLE VELOCIMETRO V-MEN VINI(FL),VINI,
741540189881,CABLE VELOCIMETRO YBR 125 / YZ125,VINI,
SPC023,CABLE VELOCIMETRO YD 110D CRUX REV,NRP,
1003769,CADENA 428H-138L DORADA MEK,MEK,
741540106801,CADENA TIEMPO (3X4-100L) GY200 VINI(FL),VINI,
741540189998,CADENA TIEMPO 4X5 104L XL1250S VINI (FL),VINI,
741540188461,CADENA TIEMPO CB1/AK125 FLEX VINI(FL),VINI,
741540188472,CADENA TIEMPO CB110  VINI(FL),VINI,
741540189648,CADENA TIEMPO CB160F-HORNET-UNICOR 49T VINI (FL),VINI,
741540100506,CADENA TIEMPO CBF 125 STUNER VINI(FL),VINI,
741540189647,CADENA TIEMPO CRUXX 110 REV VINI (FL),VINI,
741540100427,CADENA TIEMPO DR200 VINI(FL),VINI,
741540189672,CADENA TIEMPO DRS200 VINI (FL),VINI,
741540189114,CADENA TIEMPO DSR200 VINI(FL),VINI,
741540100119,CADENA TIEMPO GN 25H98 VINI FIRE150 (FL),VINI,
741540100470,CADENA TIEMPO GY6 125 VINI(FL),VINI,
741540188631,CADENA TIEMPO HERO HF DAWN,VINI,
741540188486,CADENA TIEMPO HUNK-XR150L VINI(FL),VINI,
741540190166,CADENA TIEMPO KARISMA 230 VINI,VINI,
741540189898,CADENA TIEMPO NAVI110 VINI (FL),VINI,
741540189892,CADENA TIEMPO PULSAR 125 NS VINI (FL),VINI,
741540100486,CADENA TIEMPO PULSAR 200NS-HUNK200,VINI,
741540100198,CADENA TIEMPO PULSAR/DISCOVR135/BOXER-BM (25H 94L) VINI(FL),VINI,
741540189891,CADENA TIEMPO SERPENTO DRACO 250 VINI (FL),VINI,
741540190035,CADENA TIEMPO SPIRIT 250 VINI (FL),VINI,
741540190036,CADENA TIEMPO STRYKER 125 VINI (FL),VINI,
741540100205,CADENA TIEMPO TVS 160 APACHE VINI(FL),VINI,
741540100215,CADENA TIEMPO TVS 180 APACHE VINI(FL),VINI,
741540100454,CADENA TIEMPO XL200,VINI,
741540189119,CADENA TIEMPO YARA 200 VINI,VINI,
741540100508,CADENA TIEMPO YBR125 VINI (FL),VINI,
741540100397,CADENA TRACCION 420HX134 VINI (FL),VINI,
741540188952,CADENA TRACCION 428HOX136L GOLDEN O-RING VINI(FL),VINI,
741540100252,CADENA TRACCION 428HX134 GOLDEN VINI(FL),VINI,
741540178441,CADENA TRACCION 428HX134L VINI (FL),VINI,
741540178459,CADENA TRACCION 428X134L VINI(FL),VINI,
741540190186,CADENA TRACCION 520HX112L GOLDEN (ORING),VINI,
741540100121,CADENA TRACCION 520HX118 SILVER VINI(FL),VINI,
741540189013,CADENA TRACCION 520HX120 GOLDEN VINI(FL),VINI,
741540100812,CADENA TRACCION 525HX118L VINI(FL),VINI,
741540100813,CADENA TRACCION 530HX118L VINI(FL),VINI,
1004799,CAJA CUENTA KILOMETROS   YBR125G,VINI,
1001918,CAJA CUENTA KILOMETROS GN125 FIRE125,MEK,
1004265,CAJA CUENTA KILOMETROS GXT200/KMF200/XTM200,MEK,
1002864,CAJA CUENTA KILOMETROS TODO TERRENO,MEK,
741540188463,CAJA TRANSMISION APACHE160-180,VINI,
741540188027,CAJA TRANSMISION CBF125-INVICTA-HUNK VINI (FL),VINI,
741540100493,CAJA TRANSMISION CG200 (DSR200)-ASPID CONTRAPESA VINI (FL),VINI,
741540190797,CAJA TRANSMISION CR4 250/CR2 210/FXR 200,VINI,
741540188467,CAJA TRANSMISION ECO-HERO SPLENDOR,VINI,
741540189347,CAJA TRANSMISION NAGA 200-SPITZER-TT200 VINI(FL),VINI,
741540112501,CAJA TRANSMISION SANLG SL125-C [SIN CONTRAPESA] VINI(FL),VINI,
741540100056,CAJA TRANSMISION SG200-2/GY200 VINI(FL),VINI,
741540189424,CAJA TRANSMISION SPITZER 200,VINI,
741540189346,CAJA TRANSMISION YARA 200 NEW VINI(FL),VINI,
741540100742,CAJA TRANSMISION YBR125 VINI (RC) ABJ,VINI,
741540100768,CAJA TRANSMISSION CB200-UM 160 VINI (RC),VINI,
741540100396,CAJA TRANSMISSION PULSAR 180 VINI (RC),VINI,
741540190099,CAJA TRANSMISSION PULSAR125NS-135NS VINI,VINI,
741540188542,CAJA VELOCIMETRO GN125 VINI(FL),VINI,
741540189294,CAJA VELOCIMETRO NAGA 200 VINI(FL),VINI,
741540190627,CAJA VELOCIMETRO PULSAR 125-150-160NS CON CABLE,VINI,
741540187987,CAJA VELOCIMETRO STORM 125 VINI(FL),VINI,
741540187988,CAJA VELOCIMETRO V-MEN VINI(FL),VINI,
741540188503,CAJA VELOCIMETRO YARA 200 VINI  SENSOR(FL),VINI,
741540189293,CAJA VELOCIMETRO YARA 200 VINI(FL),VINI,
741540188422,CALIPER DE FRENO DELANTERO GN125,VINI,
1005199,CALIPER DELANTERO CR2,MEK,
1001233,CALIPER DELANTERO GXT200GENESIS GXT200,MEK,
1000184,CALIPER DELANTERO XTZ125,MEK,
1000005,CALIPER DELANTERO YBR125ED,MEK,
1005201,CALIPER DELANTERO YBR125G,MEK,
741540190685,CALIPER FRENO AKTTX 180-200 / TTR 180-200,VINI,
741540190677,CALIPER FRENO CB150 INVICTA-SERPENTO RAPTOR-CR4-MK1,VINI,
741540189968,CALIPER FRENO CB190R VINI(FL),VINI,
741540190526,CALIPER FRENO DELANTERO CB150,VINI,
741540190571,CALIPER FRENO DELANTERO CR150/CG125/R2-250,VINI,
741540190539,CALIPER FRENO DELANTERO XR150L-190L,VINI,
741540189223,CALIPER FRENO DELANTERO YARA 200,VINI,
741540188505,CALIPER FRENO DELANTERO YARA VINI(RC),VINI,
741540188085,CALIPER FRENO PULSAR 180 UG3/UG4,VINI,
741540190678,CALIPER FRENO PULSAR 200NS,VINI,
741540190679,CALIPER FRENO PULSAR 200NS DELANTERO,VINI,
741540188424,CALIPER FRENO TRAS DAKAR-YARA VINI(RC),VINI,
1005917,CALIPER TRASERO AKT TT200R,MEK,
1005916,"CALIPER XM200Z, YARA 200 DELANTERO MEK",MEK,
1006065,CAPUCHON BUJIA PILSAR135,MEK,
741540188345,CAPUCHON DE BUJIA B70 VINI(FL)UNIVERSALES,VINI,
741540188346,CAPUCHON DE BUJIA GY6125 VINI(FL),VINI,
741540188290,CAPUCHON DE BUJIA JH70 VINI (FL) UNIVERSALES,VINI,
741540188510,CARBURADOR APACHE 160-GN VINI (TVS),VINI,
741540188137,CARBURADOR APACHE 180,VINI,
741540100239,CARBURADOR AX100 VINI(RC),VINI,
741540190788,CARBURADOR AX4 GD110,VINI,
741540188240,CARBURADOR BOXER-CT100,VINI,
741540189026,CARBURADOR CB1 VINI(FL),VINI,
741540189028,CARBURADOR CB110 TWISTER VINI(FL),VINI,
741540189960,CARBURADOR CRUXX110REV,VINI,
741540188242,CARBURADOR DISCOVER 125,VINI,
CRB014,CARBURADOR EN125-2A/GN125/APACHE RTR 160/APACHE RTR 160 2V,NRP,
1002338,CARBURADOR FZ16/YAMAHA FZ16,MEK,
1003034,CARBURADOR GN125 APACHE 160-180,MEK,
1003575,CARBURADOR GY6 125SCOOTER,MEK,
1002590,CARBURADOR GY6 150 SCOOTER,MEK,
741540190866,CARBURADOR HOT PARTS CG250 (3MM) VINI,VINI,
741540188511,CARBURADOR HUNK 150/CBF 150 VINI(FL),VINI,
741540188136,CARBURADOR PULSAR 180 VINI(FL),VINI,
1003573,CARBURADOR PZ26 CG125,MEK,
741540160009,CARBURADOR SANLG SL125-3C-PZ26 VINI(FL),VINI,
741540160027,CARBURADOR SANLG SL150/PZ27 VINI (FL),VINI,
741540100314,CARBURADOR SG200GY-2 VINI(FL),VINI,
741540188247,CARBURADOR SMX200-CG200-CG300-PZ30,VINI,
1004930,CARBURADOR YBR125 CR4 FALCON250,MEK,
741540100264,CARBURADOR YBR125 VINI(FL),VINI,
1005933,CARETA CON BASE FRONTAL NEGRA  TODOTERRENO,MEK,
1005522,CARETA FRONTAL MAVERICK/CR1 2016,MEK,
RFF207RGL,CASCO CERRADO ROBOT GRIS MATTE DOT XL,NRP,
HRO-514-DV-EVO,CASCO CERTIFICADO HRO DOT 514,VINI,
156892,"CASCO INTEGRAL SHAFT 526SP (L, MASTER OF THE SEA AZUL / ROJO)",MOTUL,
160860,"CASCO INTEGRAL SHAFT 560EVO (L, MENFIS AZUL / NARANJA)",SHAFT,
160845,"CASCO INTEGRAL SHAFT 560EVO (XL, CHAOS BLANCO / ROJO)",SHAFT,
161970,"CASCO INTEGRAL SHAFT SH-502 SP (L, LUKE NEGRO / ROJO)",SHAFT,
